id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,detection_method
0,Gas Giant,2024,0.387 Jupiters,0.285 x Jupiter,0.847 AU,271.9 days,Transit
1,Gas Giant,2018,11.6 Jupiters,1.11 x Jupiter (estimate),1950 AU,385314.4 years,Imaging
2,Neptune-like,2024,23.5 Earths,0.234 x Jupiter,0.193 AU,35 days,Transit
3,Neptune-like,2024,7.6 Earths,0.262 x Jupiter,0.0903 AU,11.2 days,Transit
4,Super Earth,2024,2.59 Earths,1.415 x Earth,0.0359 AU,4 days,Transit
5,Super Earth,2024,3.52 Earths,1.695 x Earth,0.0742 AU,8.3 days,Transit
6,Gas Giant,2023,4.992 Jupiters,1.15 x Jupiter (estimate),0.8 AU,239.5 days,Eclipse Timing Variations
7,Gas Giant,2024,21 Jupiters,1.08 x Jupiter (estimate),435 AU,365 days,Imaging
8,Gas Giant,2024,4.89 Jupiters,1.15 x Jupiter (estimate),2 AU,2.8 years,Radial Velocity
9,Gas Giant,2024,0.463 Jupiters,0.645 x Jupiter,0.163 AU,23.6 days,Transit
10,Gas Giant,2024,21 Jupiters,1.08 x Jupiter (estimate),3319 AU,365 days,Imaging
11,Gas Giant,2024,28 Jupiters,1.06 x Jupiter (estimate),266 AU,365 days,Imaging
12,Gas Giant,2024,26 Jupiters,1.07 x Jupiter (estimate),350 AU,9085.5 years,Imaging
13,Gas Giant,2024,18 Jupiters,1.08 x Jupiter (estimate),572 AU,26844.5 years,Imaging
14,Gas Giant,2024,12 Jupiters,1.1 x Jupiter (estimate),7493 AU,811226.1 years,Imaging
15,Gas Giant,2024,0.387 Jupiters,0.285 x Jupiter,0.847 AU,271.9 days,Transit
16,Gas Giant,2018,11.6 Jupiters,1.11 x Jupiter (estimate),1950 AU,385314.4 years,Imaging
17,Neptune-like,2024,23.5 Earths,0.234 x Jupiter,0.193 AU,35 days,Transit
18,Neptune-like,2024,7.6 Earths,0.262 x Jupiter,0.0903 AU,11.2 days,Transit
19,Super Earth,2024,2.59 Earths,1.415 x Earth,0.0359 AU,4 days,Transit
20,Super Earth,2024,3.52 Earths,1.695 x Earth,0.0742 AU,8.3 days,Transit
21,Gas Giant,2023,4.992 Jupiters,1.15 x Jupiter (estimate),0.8 AU,239.5 days,Eclipse Timing Variations
22,Gas Giant,2024,21 Jupiters,1.08 x Jupiter (estimate),435 AU,365 days,Imaging
23,Gas Giant,2024,4.89 Jupiters,1.15 x Jupiter (estimate),2 AU,2.8 years,Radial Velocity
24,Gas Giant,2024,0.463 Jupiters,0.645 x Jupiter,0.163 AU,23.6 days,Transit
25,Gas Giant,2024,21 Jupiters,1.08 x Jupiter (estimate),3319 AU,365 days,Imaging
26,Gas Giant,2024,28 Jupiters,1.06 x Jupiter (estimate),266 AU,365 days,Imaging
27,Gas Giant,2024,26 Jupiters,1.07 x Jupiter (estimate),350 AU,9085.5 years,Imaging
28,Gas Giant,2024,18 Jupiters,1.08 x Jupiter (estimate),572 AU,26844.5 years,Imaging
29,Gas Giant,2024,12 Jupiters,1.1 x Jupiter (estimate),7493 AU,811226.1 years,Imaging
